[326, [-0.04, -0.01, 0.91, -1, 1, 1, 23.05], 0.06645065],
[327, [-0.03, -0.0, 0.91, -1, 1, 1, 23.14], 0.06645065],
[328, [-0.03, -0.0, 0.91, -1, 1, 1, 23.0], 0.06645065],
[329, [-0.03, -0.01, 0.89, -1, 1, 1, 23.05], 0.06645065],
[330, [-0.03, -0.01, 0.9, -1, 1, 1, 23.71], 0.06645065],
[331, [-0.03, -0.01, 0.9, -1, 1, 1, 23.09], 0.06645065],
[332, [-0.03, -0.0, 0.9, -1, 1, 1, 23.05], 0.06645065],
[333, [-0.04, -0.01, 0.91, -1, 1, 1, 23.05], 0.06645065],
[334, [-0.03, -0.0, 0.9, -1, 1, 1, 23.71], 0.06645065],
[335, [-0.04, -0.0, 0.9, -1, 1, 1, 23.0], 0.06645065],
[336, [-0.03, -0.01, 0.91, -2, 2, 1, 23.14], 0.06645065],
[337, [-0.03, -0.0, 0.91, -2, 1, 1, 23.05], 0.06645065],
[338, [-0.03, -0.0, 0.91, -1, 1, 1, 22.91], 0.06645065],
[339, [-0.03, 0.0, 0.91, -1, 1, 1, 22.91], 0.06645065],
[340, [-0.03, -0.0, 0.91, -1, 1, 1, 23.0], 0.06645065],
[341, [-0.03, -0.01, 0.9, -1, 1, 1, 23.0], 0.06645065],
